u,i,year
13446,13372,2007
15161,14755,2017
7392,6549,2011
14908,14187,2006
13813,13798,2007
18699,18450,2020
16431,16033,2008
20762,20237,2014
6790,6524,2017
9356,8282,2003
22520,22230,2007
21319,20951,2015
5085,2667,2000
21648,21619,2018
12469,12293,2011
10374,9575,2015
7613,4626,2012
16405,16225,2021
22459,22407,2017
11208,10984,2006
10334,1863,2007
15933,15284,2009
9656,9197,2014
19207,19080,2015
12814,3574,2018
15808,15307,2010
9651,8878,2007
7312,5263,2003
5817,4337,2016
14474,14416,2007
8177,5990,2018
15600,15537,2020
10772,10761,2017
11087,4853,2017
2766,1367,2021
10012,6909,2018
13027,1716,2013
19889,19657,2014
24596,24570,2013
13794,13625,2009
21844,21764,2012
6671,6629,2019
10358,10140,2017
5133,3773,2021
16297,16296,2016
18478,18371,2001
3518,1450,2013
14005,12745,2006
5366,2658,2019
13760,12555,2016
3947,3714,2011
18121,18099,2020
10115,4047,2004
4513,3729,2009
22668,22546,2003
24304,24070,2001
9399,6791,2006
9933,8975,2011
4496,2747,2009
9772,9195,2017
18026,639,2018
9642,5323,2015
9343,8329,2000
7017,5038,2007
17930,17672,2013
9651,9398,2020
23520,963,2013
9529,9524,2011
18210,18203,2002
15848,15216,2015
18840,18715,2019
17775,17519,2012
20178,20083,2018
15341,14892,2012
23399,23219,2012
20516,20483,2010
9392,9241,2003
19200,18897,2015
14176,4519,2001
8626,5809,2003
23761,23732,2016
7943,6337,2019
23223,23145,2001
12246,11805,2001
12925,11995,2001
13161,13093,2010
17122,17055,2002
16865,16485,2009
6649,3402,2000
11551,11069,2001
13437,13422,2012
21598,21452,2015
13741,13644,2011
10371,2616,2016
21535,21299,2003
5416,5272,2006
11039,10067,2016
22653,22629,2010
15896,15883,2002
13372,13035,2020
18639,18557,2004
9358,5087,2019
10164,9533,2000
12367,3621,2016
15172,15101,2015
21414,21241,2004
14331,14245,2001
13027,11624,2001
8886,3610,2013
14806,14606,2002
21931,21628,2000
18656,18054,2019
23804,23745,2013
9919,7666,2012
22967,22848,2016
6256,1957,2004
21762,21649,2012
7017,2870,2018
11279,5941,2003
16007,15796,2008
13707,12799,2018
14114,13954,2004
20971,20591,2007
23653,23311,2019
24405,24398,2013
7570,5618,2017
21591,21259,2006
7763,3915,2001
7820,6802,2014
22613,22551,2021
14114,13346,2003
6395,4943,2020
16654,16627,2009
23667,23611,2003
16039,2100,2013
14520,14404,2002
18436,18369,2021
19157,18914,2008
17014,16922,2020
22503,22151,2019
7541,7392,2010
5955,3296,2012
13802,2767,2000
12185,11665,2008
16114,15785,2020
14409,14376,2016
10563,2782,2004
21854,21758,2005
18443,18334,2010
14688,14616,2010
6678,2495,2000
20696,20479,2007
14219,14179,2010
14008,13314,2016
19392,19196,2010
19031,18588,2015
14521,14386,2019
11920,9934,2007
16659,8248,2011
10235,2730,2015
3518,2692,2001
7860,6283,2006
23881,23572,2005
11831,8318,2001
19636,2261,2004
17526,17413,2000
22782,22607,2016
13194,12695,2006
19612,19125,2021
10898,10254,2020
3426,2380,2005
24176,24091,2009
21965,21939,2006
6510,6351,2000
13445,4380,2015
6403,5914,2008
13760,13479,2002
18721,18178,2000
24041,23950,2012
16828,16771,2013
10411,9818,2006
8412,4788,2016
18947,18673,2003
17781,17418,2016
14967,14809,2004
16097,15936,2006
11822,11522,2010
20338,20288,2009
20195,757,2018
8534,7978,2009
11243,3014,2004
6678,4255,2008
14507,14211,2013
9470,9274,2002
19608,19241,2006
17703,17260,2004
21217,21004,2005
17116,16470,2015
16244,16055,2003
5704,3309,2000
18898,18826,2010
10551,10340,2007
18250,17831,2014
8728,8698,2009
20998,20861,2017
9984,9047,2011
11038,10461,2015
20055,20053,2021
4569,1909,2013
20818,20527,2016
24065,24031,2018
23438,23094,2011
6395,5760,2006
13826,13543,2018
21065,20820,2011
11329,9864,2001
10361,6308,2018
14233,14154,2000
9431,5379,2011
19011,18883,2018
17374,17258,2003
6412,6145,2000
10115,10071,2010
6594,5354,2019
13934,3452,2000
22566,22424,2005
10444,9441,2001
16342,16250,2012
23852,23811,2018
16672,16512,2005
10593,2310,2020
19246,19161,2020
13828,13749,2013
21696,21487,2019
10604,10593,2017
22622,22482,2006
20517,20313,2007
21486,21341,2003
11642,9421,2017
12190,11349,2005
9678,9461,2009
9361,3251,2001
21428,21208,2012
4342,2672,2018
8785,8386,2014
8676,1544,2014
12863,412,2009
11617,11579,2007
8907,8878,2002
24500,24461,2019
23494,23238,2005
17268,17004,2005
8369,3023,2002
6960,5302,2010
22655,22651,2005
18365,18089,2006
16292,15868,2021
7225,4920,2017
13531,13339,2006
10536,5452,2004
12191,5156,2013
21745,21630,2019
13409,12665,2006
12814,6016,2012
7416,1275,2010
18160,17987,2005
19921,19805,2020
13835,13816,2010
18052,1668,2019
8897,8772,2010
3979,1895,2004
19554,19075,2006
7794,6058,2017
20989,20741,2012
24137,24025,2008
10823,2018,2011
21121,20802,2013
13079,13008,2005
24572,24447,2018
15770,15362,2018
12800,12759,2007
14189,14145,2005
10239,8205,2000
10026,9859,2017
8953,6440,2011
20956,329,2004
18200,18167,2015
8672,1347,2010
21463,1994,2004
22186,21991,2010
10476,9875,2008
24149,23835,2009
13445,5814,2010
19491,19450,2011
23005,22955,2008
23515,23434,2019
11199,10659,2004
9772,8802,2021
19648,19540,2012
22507,22258,2007
22347,22068,2005
8884,7925,2019
16936,16730,2020
8586,7437,2007
13605,13408,2004
8600,7932,2010
14447,1619,2016
3847,1992,2008
12588,11185,2018
12063,11823,2000
20004,19727,2001
15179,15022,2016
23866,23756,2003
21021,20962,2007
12469,12433,2018
20956,578,2009
17833,17292,2020
12896,12847,2012
16179,15896,2016
9601,8793,2001
13079,12461,2020
14217,13693,2003
15303,15043,2018
16580,16220,2008
18197,18061,2014
16840,3188,2002
18046,17952,2003
10482,9338,2021
16696,16634,2016
11330,10893,2020
4447,2133,2013
19438,19393,2002
23167,22881,2002
7653,3254,2012
13053,12820,2002
337,205,2009
7913,6619,2008
23201,22767,2009
6710,6442,2018
15165,15161,2008
15498,3669,2019
23776,23735,2013
18859,18383,2016
14145,13810,2005
7818,2770,2003
22774,22476,2020
11175,9426,2000
10482,10478,2001
17402,17397,2011
13190,12977,2003
14594,14170,2021
20927,20834,2003
15089,14596,2001
10483,9871,2003
19613,19591,2006
8950,6021,2008
20091,19615,2000
20693,1025,2005
23658,23628,2014
12386,704,2001
13161,11686,2008
19647,19641,2012
21670,21341,2019
24855,24800,2018
21696,21464,2002
18392,18253,2014
12103,4088,2006
13622,4077,2000
17360,17215,2018
21135,20992,2014
17723,17464,2002
23352,23212,2012
10787,9934,2000
19757,19504,2002
20924,20832,2014
6089,3411,2004
8373,7322,2000
10030,9140,2006
22833,22734,2016
13409,13177,2007
8994,8826,2004
16772,16451,2016
23365,23190,2021
15517,1443,2005
17056,16945,2015
12366,2746,2007
11233,10554,2006
8319,5680,2010
6980,5596,2002
1526,1278,2006
22327,22242,2021
13265,13083,2010
9966,9079,2004
9238,4991,2021
17361,17035,2005
3979,1492,2021
12204,12098,2008
22300,22181,2003
13857,13131,2006
14404,14379,2011
24870,24860,2003
11631,11434,2005
22050,21998,2001
9399,8178,2013
12338,12035,2005
24569,24567,2006
18704,18681,2019
17240,5720,2021
17228,17118,2016
20404,20315,2009
10999,3035,2012
3884,3543,2012
13379,12968,2004
10563,7354,2008
11416,5017,2017
11657,11620,2004
23069,23060,2004
18077,17965,2020
24750,24707,2009
15354,15352,2015
15639,15461,2007
21642,21407,2010
14753,2113,2015
6097,4731,2002
6777,2477,2012
18614,4382,2013
10140,9191,2008
10960,10827,2020
9356,4393,2011
22027,21830,2019
13818,13786,2004
21223,21198,2015
19512,19470,2001
17063,16718,2006
20071,19998,2020
5938,4952,2010
20736,20546,2012
6403,1208,2013
12896,8164,2019
5416,4622,2003
10238,9225,2019
19404,19278,2020
8897,7226,2011
21251,21106,2012
5976,4063,2015
19455,18924,2017
10235,9417,2005
21044,20997,2019
12486,12433,2019
7016,5163,2015
9642,8426,2000
9179,8038,2001
8785,6914,2004
24149,24060,2020
10160,9999,2021
8325,3983,2001
12599,11573,2014
22533,22238,2021
20954,20757,2012
17772,17341,2011
9365,6778,2016
19455,18953,2010
11019,9831,2003
7885,7311,2007
13236,1900,2001
14777,14734,2021
6368,6232,2021
19814,19603,2017
20941,20874,2019
9327,9260,2021
9591,9012,2000
12372,4504,2017
24155,24033,2001
11928,11390,2002
10914,10402,2018
21561,21479,2012
